SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
50009.*A,AIRPORT,ADK,5/31/12,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,ADAK ISLAND,ADAK,PU,PU,STATE OF ALASKA-DOTPF-CENTRAL RGN,P O BOX 196900,"ANCHORAGE, AK 99519",    907-269-0751,VINCE TUTIAKOFF,P O BOX 1952,"ADAK, AK 99546",    907-592-8026,51-52-40.6700N,186760.6700N,176-38-45.7100W,635925.7100W,E,18,S,07E,2000,,W ALEUTIAN ISLS,0,W,,ZAN,ZAN,ANCHORAGE,ZAP,ZAP,ANCHORAGE OCEANIC,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,ADK,Y,4/1/49,O,I A S 04/2005,N,NO OBJECTION,N,N,N,Y,F,F,6232011,1081991,A1,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,,,0,0,0,0,,,,212,,0,0,100,28,1/2/11,,,,,,HGR,CARGO,Y
50034.*A,AIRPORT,ANC,5/31/12,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2525,JOHN PARROTT,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2525,61-10-26.7000N,220226.7000N,149-59-53.5000W,539993.5000W,E,151,S,19E,2010,,ANCHORAGE,4,SW,4608,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,ANC,Y,11/1/51,O,I E S 04/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,10282011,,100  100LLA    A1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,,N,CG,Y,,9,55,11,15,1,0,,107560,,78395,15421,84588,3508,10/28/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L
50054.3*A,AIRPORT,BRW,5/31/12,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,BARROW,WILEY POST-WILL ROGERS MEMORIAL,PU,PU,ST OF AK DOTPF NOR REG,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-2206,JOHN OLSEN,PO BOX 367,"BARROW, AK 99723",    907-852-6199,71-17-05.6000N,256625.6000N,156-46-06.9000W,564366.9000W,E,52,S,19E,2010,,POINT BARROW,0,SE,,ZAN,ZAN,ANCHORAGE,,,,Y,BRW,BARROW,907-852-2511,LC852-2511,FAI,FAIRBANKS,1-866-248-6516,BRW,Y,,O,I B S 03/2005,NGSY,NO OBJECTION,N,N,N,Y,F,F,6282011,,100LLA1,MINOR,MINOR,NONE,NONE,SEE RMK,SEE RMK,N,,123.6,Y,CG,N,,3,1,1,3,,,,1460,,6000,3000,1500,50,1/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50061.1*A,AIRPORT,BET,5/31/12,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0747,DAVID CUMMINGS,BOX 505,"BETHEL, AK 99559",    907-543-2495,60-46-42.8046N,218802.8046N,161-50-13.8386W,582613.8386W,E,126,S,14E,2010,,MC GRATH,3,SW,1056,ZAN,ZAN,ANCHORAGE,,,,N,ENA,KENAI,800-478-3576,1-866-864-1737,,,,BET,Y,11/1/58,O,I A S 04/2005,N,NO OBJECTION,,,,,F,F,3042011,,100  100LLA    A1,MINOR,MINOR,,,SEE RMK,SS-SR,Y,,118.7,Y,CG,,,209,17,,4,,2,,5195,,65857,7140,42438,1370,1/1/11,FAA-EST,00:00.0,NGS,00:00.0,,"HGR,TIE",CARGO,Y-L
50114.*A,AIRPORT,CDB,5/31/12,AAL,NONE,AK,ALASKA,ALEUTIAN ISLANDS,AK,COLD BAY,COLD BAY,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,POUCH 196900,"ANCHORAGE, AK 99519-6900",    907-269-0749,JEFF DOERNING,BOX 97,"COLD BAY, AK 99571",    907-532-5000,55-12-18.5401N,198738.5401N,162-43-28.0784W,585808.0784W,E,102,E,14E,2005,,COLD BAY,0,N,,ZAN,ZAN,ANCHORAGE,,,,Y,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,CDB,Y,4/1/49,O,I B S 04/2005,NGPY,NO OBJECTION,N,Y,N,Y,F,F,5182011,,100  A,MINOR,MINOR,NONE,,SEE RMK,SEE RMK,N,,123.6,Y,CG,N,,0,0,0,0,,,,2670,,5840,150,50,500,1/1/11,FAA-EST,00:00.0,ADO,00:00.0,,HGR,CARGO,Y
50124.*A,AIRPORT,CDV,5/31/12,AAL,NONE,AK,ALASKA,CORDOVA-MCCARTHY,AK,CORDOVA,MERLE K (MUDHOLE) SMITH,PU,PU,DOT NOTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5250,ROB MATTSON,BOX 598,"CORDOVA, AK 99574",    907-424-3202,60-29-30.4000N,217770.4000N,145-28-39.2000W,523719.2000W,E,54,S,22E,2005,,ANCHORAGE,11,SE,2959,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,CDV,Y,1/1/49,O,I B S 04/2005,NGPSY,NO OBJECTION,N,N,N,Y,F,F,4082011,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,28,,,2,,,,2540,,4000,4500,2000,1000,1/1/11,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L
50140.7*A,AIRPORT,SCC,5/31/12,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,DEADHORSE,PU,PU,ST OF AK DOTPF NOR REG,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-2200,TIM PERAULT,POUCH 340002,"PRUDHOE BAY, AK 99734",    907-659-2553,70-11-41.1000N,252701.1000N,148-27-54.6000W,534474.6000W,E,65,S,23E,2010,,POINT BARROW,0,SE,6506,ZAN,ZAN,ANCHORAGE,,,,Y,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,SCC,Y,4/1/70,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,6172011,,100  B    MOGAS,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,3,2,,2,,,,6944,,4576,9126,3000,150,1/1/11,NGS,00:00.0,NGS,00:00.0,,,CARGO,Y-L
50153.*A,AIRPORT,DLG,5/31/12,AAL,NONE,AK,ALASKA,BRISTOL BAY,AK,DILLINGHAM,DILLINGHAM,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,P O BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0751,NORMAN HEYANO,BOX 250,"DILLINGHAM, AK 99576",    907-842-5511,59-02-40.8000N,212560.8000N,158-30-19.8000W,570619.8000W,E,81,S,15E,2010,,KODIAK,2,W,620,ZAN,ZAN,ANCHORAGE,,,,Y,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,11/1/50,O,I A S 05/1973,NGSY,NO OBJECTION,N,N,N,Y,F,F,9022011,7191994,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,,,52,,,1,,,,1323,,36489,2083,10986,11,8/31/11,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y
50219.*A,AIRPORT,FAI,5/31/12,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS,FAIRBANKS INTL,PU,PU,STATE OF ALASKA DOTPF,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,JESSE VANDERZANDEN,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,64-48-54.3963N,233334.3963N,147-51-23.2114W,532283.2114W,E,439,S,19E,2010,,FAIRBANKS,3,SW,3470,ZAN,ZAN,ANCHORAGE,,,,Y,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,FAI,Y,6/1/51,O,I C S 03/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,8272010,,100LLA1,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,317,64,,1,,,,16781,,23339,46801,43566,2780,1/1/10,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L
50257.5*A,AIRPORT,GBH,5/31/12,AAL,NONE,AK,ALASKA,NOME,AK,GALBRAITH LAKE,GALBRAITH LAKE,PU,PU,STATE OF ALASKA DOTPF,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-2207,"CASEY AHKVALUK, AVIATION COORINATOR","P.O. BOX 196660, MS 530B","ANCHORAGE, AK 99512",    907-787-8964,68-28-46.8000N,246526.8000N,149-29-23.7000W,538163.7000W,E,2663,S,22E,2010,,POINT BARROW,2,N,,ZAN,ZAN,ANCHORAGE,,,,N,FAI,FAIRBANKS,907-474-0137,1-866-248-6516,,,,GBH,Y,1/1/71,O,IV A U 07/2008,N,NO OBJECTION,,,N,Y,F,F,7212011,4211982,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.9,Y,CG,N,,0,0,0,0,,,,26,,175,90,60,,7/1/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,CARGO,Y-L
50284.*A,AIRPORT,GST,5/31/12,AAL,NONE,AK,ALASKA,SKAGWAY-YAKUTAT,AK,GUSTAVUS,GUSTAVUS,PU,PU,ST OF AK DOT SE REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1786,MICHAEL PEDDERSEN,PO BOX 239,"GUSTAVUS, AK 99826",    907-697-2251,58-25-31.0000N,210331.0000N,135-42-26.7000W,488546.7000W,E,35,S,25E,2000,,JUNEAU,0,NE,1821,ZAN,ZAN,ANCHORAGE,,,,N,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,GST,Y,1/1/49,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,5172010,5131983,100LLA,MINOR,MINOR,NONE,NONE,SS-SR,,N,,122.5,Y,CG,N,,18,2,,1,,,,200,,3300,200,2000,50,5/30/10,NGS,00:00.0,NGS,00:00.0,,,,Y
50320.*A,AIRPORT,HOM,5/31/12,AAL,NONE,AK,ALASKA,KENAI-COOK INLET,AK,HOMER,HOMER,PU,PU,STATE OF AK DOTPF-CENTRAL RGN,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0767,KEVIN JONES,2336 KACHEMAK DR,"HOMER, AK 99603",    907-235-8872,59-38-44.0000N,214724.0000N,151-28-35.7000W,545315.7000W,E,84,S,24E,1985,800,SEWARD,2,E,1040,ZAN,ZAN,ANCHORAGE,,,,Y,HOM,HOMER,907-235-8588,LC235-8588,ENA,KENAI,1-866-864-1737,HOM,Y,5/1/47,O,I A S 04/1985,NGY,NO OBJECTION,N,N,N,Y,F,F,5072008,3222001,100LLA    B,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,84,4,,3,,,2,23017,,15704,6000,5000,100,1/1/08,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE",CARGO,Y-L
50385.*A,AIRPORT,JNU,5/31/12,AAL,NONE,AK,ALASKA,JUNEAU,AK,JUNEAU,JUNEAU INTL,PU,PU,CITY OF JUNEAU,155 S SEWARD,"JUNEAU, AK 99801",    907-789-7821,JEANNIE JOHNSON,"1873 SHELL SIMMONS DR, SUITE 201","JUNEAU, AK 99801",    907-789-7821,58-21-17.9000N,210077.9000N,134-34-34.6000W,484474.6000W,E,21,S,23E,2005,1500,JUNEAU,7,NW,653,ZAN,ZAN,ANCHORAGE,,,,Y,JNU,JUNEAU,907-789-7380,1-800-WX-BRIEF,,,,JNU,Y,11/1/41,O,I B S 04/2005,NGPSY,NO OBJECTION,Y,N,N,Y,F,F,11182011,,100LL80   A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.7,Y,CG,Y,,288,3,3,27,,3,1,8232,,63338,5776,12057,865,9/30/11,NGS,00:00.0,NGS,00:00.0,,HGR,CARGO,Y-L
